,Date,Year,Type,Country,Area,Location,Activity,Sex,Age,Fatal_(Y/N),Time,Species,original_order,Continent
4181,Dec,1957.0,Unprovoked,australia,South Australia,"Port Hughes, 100 miles from Adelaide in Spencer Gulf",Fish,M,27.32,N,,Unespcific,2122.0,Oceania
4182,Dec,1957.0,Unprovoked,south africa,KwaZulu-Natal,Margate,Seashore,F,14.0,N,afternoon,Unespcific,2121.0,Africa
4183,Dec,1957.0,Unprovoked,south africa,KwaZulu-Natal,"Splash Rock, Port Edward",Diving,M,20.0,N,day-morning,Unespcific,2120.0,Africa
4184,Dec,1957.0,Unprovoked,south africa,KwaZulu-Natal,Margate,Swim,M,23.0,Y,afternoon,Unespcific,2119.0,Africa
4185,Dec,1957.0,Unprovoked,south africa,KwaZulu-Natal,Uvongo,Seashore,M,15.0,Y,afternoon,Unespcific,2118.0,Africa
4186,Dec,1957.0,Unprovoked,south africa,KwaZulu-Natal,Karridene,Surf,M,16.0,N,afternoon,Unespcific,2117.0,Africa
4187,Nov,1957.0,Sea Disaster,pacific ocean,"1,000 miles east of Hawaii",,On_boat,F,27.32,N,,Unespcific,2116.0,Unknown
4188,Nov,1957.0,Boat,australia,New South Wales,Off Scotts,Fish,F,27.32,N,,Unespcific,2115.0,Oceania
4189,Oct,1957.0,Unprovoked,solomon islands,Honiara,Honiara,,M,22.0,Y,afternoon,Unespcific,2114.0,Unknown
4190,Oct,1957.0,Unprovoked,solomon islands,Honiara,Honiara,,F,28.0,Y,afternoon,Unespcific,2113.0,Unknown
4191,Sep,1957.0,Unprovoked,marshall islands,Eniwetok Atoll,Parry Island,,M,27.32,N,,Tiger shark,2112.0,Unknown
4192,Aug,1957.0,Provoked,usa,Florida,"Miami Seaquarium, Virginia Key, Miami, Miami-Dade County",Rare_act.,M,27.32,N,,Tiger shark,2111.0,North_America
4193,Jul,1957.0,Provoked,usa,California,"La Jolla, San Diego County",Fish,M,27.32,N,,White shark,2110.0,North_America
4194,Jul,1957.0,Unprovoked,usa,North Carolina,"Salter Path, Atlantic Beach, Carteret County",Swim,M,57.0,Y,afternoon,White shark,2109.0,North_America
4195,Jul,1957.0,Unprovoked,australia,Torres Strait,Near Thursday Island,Diving,M,36.0,N,,Unespcific,2108.0,Oceania
4196,Jun,1957.0,Invalid,cuba,Yucatan Channel,,Rare_act.,M,27.32,,,Lemon shark,2107.0,Unknown
4197,May,1957.0,Unprovoked,australia,New South Wales,"Tea Gardens, north of Newcastle",Fish,M,28.0,N,afternoon,Unespcific,2106.0,Oceania
4198,May,1957.0,Unprovoked,solomon islands,,,Fish,M,27.32,N,,Unespcific,2105.0,Unknown
